smiles,1,2,3
O=S(=O)(Nc1nc2ccccc2nc1Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1ccccc1,0.0,,
O=C(NC(=S)NNC(=O)c1ccccc1[N+](=O)[O-])c1ccccc1,0.0,,
CCC(=O)N1CCN(c2cc(C)ccc2C)CC1,0.0,,
COCCCNc1c(O)nc2cccc3c2c1-c1ccccc1C3=O,0.0,,
O=C(O)C(c1ccccc1)N1C(=O)/C(=C\c2ccc(-c3ccc(Br)cc3)o2)SC1=S,0.0,,
COc1ccc(NC(=O)C2=C(C)NC(=O)NC2c2ccccc2[N+](=O)[O-])cc1,0.0,,
COc1cc(C2C(C(C)=O)=C(O)C(=O)N2c2ccc(C)cc2)ccc1O,0.0,,
O=C1CCCC2=C1C(c1ccc(OS(=O)(=O)c3ccc(Cl)cc3)cc1)C1=C(CCCC1=O)O2,0.0,,
CC1SC(c2ccccc2Cl)NC1=O,0.0,,
COc1cccc(-c2ccc(NC(=O)C3CCCN(Cc4nccn4C)C3)cc2)c1,0.0,,
CCn1c2ccccc2c2cc(C3C(C#N)=C(C)NC(C)=C3C#N)ccc21,0.0,,
Sc1nnc(Nc2cccc(Cl)c2)s1,0.0,,
Cn1c(C(=O)O)cc2c(=O)n3ccccc3nc21,0.0,,
O=C(COc1ccc([N+](=O)[O-])cc1)Nc1nnc(-c2cccnc2)s1,0.0,,
Cc1ccc(Nc2c(-c3ccco3)nc3ccccn23)cc1,0.0,,
O=C(c1ccccc1)N1CCSC1=S,0.0,,
Cc1cccc(-n2ncc3c2CCCC3NC(=O)Cc2c(C)noc2C)c1C,0.0,,
COc1cc(C2CC(=O)N3CN(c4ccccc4C)CSC3=C2C#N)cc(OC)c1OC,0.0,,
CCOC(=O)c1sc(NC(=O)CSc2nnc(Cc3ccccc3)o2)c(C#N)c1C,0.0,,
CCCc1nc2sc3c(SCC(=O)NCc4ccco4)ncnc3c2c2c1CCC2,0.0,,
COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,0.0,,
COc1ccc(OC)c(S(=O)(=O)CC(=O)c2cc3ccc(OC)cc3oc2=O)c1,0.0,,
N#Cc1c(-c2c(Cl)cccc2Cl)noc1/C=C/Nc1ccc(C(=O)O)cc1,0.0,,
CCCc1cc(=O)oc2c(CN(CC)CC)c(O)c(Cl)cc12,0.0,,
CCOc1ccc(NC(=O)Cc2c(O)nc3ccccc3c2O)cc1,0.0,,
O=C(O)CSc1cc(C(=O)c2ccccc2O)cn2c(=O)c3c(-c4ccccc4)csc3nc12,0.0,,
